Timekeeper ID,Timekeeper Name,Timekeeper Role,Timekeeper Status,Timekeeper Office,Timekeeper Department,Timekeeper Practice Group,Standard Rate,Work Rate,Matter ID,Matter Name,Matter Type,Matter Status,Matter Office,Matter Department,Matter Practice Group,Billing Attorney,Supervising Attorney,Responsible Attorney,Originating Attorney,Budget,Target,Client ID,Client Name,Client Address,Client Status,Client Type,Invoice ID,Invoice Date,Billed Hours,Billed Amount,Collected Hours,Collected Amount,Write Off Amount,Discount Amount,Realization Rate,Utilization Rate,Worked Hours,Worked Amount,Effective Rate,Flat Fee Amount,Trust Balance,WIP Amount,AR Amount,Soft Costs,Hard Costs,Phase Code,Task Code,Activity Code,Time Entry Date,Time Entry Hours,Time Entry Description,Profitability Status,Risk Level,Underbilling Flag,Overutilization Flag,Discount Flag
TK3171,Erika Fischer,Of Counsel,Active,Toronto,Tax,Intellectual Property,739,584,MT5079,Arroyo v. Nielsen,Divorce,Closed,Sydney,Litigation,Criminal Defense,Jessica Le,Miss Laura Lopez,Benjamin Harrison,Madison Roberts,226352,305,CL4992,Carr LLC,"Unit 2899 Box 4248
DPO AE 20727",Active,Government,INV-04791,3/14/2025,121,70664,101,58984,947,933,83.47,39.67,127,74168,584,0,2263,10515,9246,1982,9530,Document Review,Negotiation,Document Review,5/6/2024,5,Document Review for Arroyo v. Nielsen,Profitable,Low,No,No,Yes
TK2697,Luis Gibson PhD,Law Clerk,Active,New York,Tax,M&A,441,397,MT9111,Colon v. Smith,Litigation,Closed,New York,Corporate,M&A,Ernest Kane,Travis Cooper,Angela Olsen,Christina Baker,171445,413,CL1295,Young-Valenzuela,"7508 Matthew Lights Suite 900
Rebeccatown, NC 21427",Active,Corporation,INV-27916,10/25/2023,189,75033,184,73048,596,800,97.35,45.76,193,76621,397,40329,6549,1391,9881,255,2474,Discovery,Research,Client Meeting,3/14/2025,1,Client Meeting for Colon v. Smith,Unprofitable,Medium,No,No,Yes
TK7603,Ricky Lee,Partner,Terminated,Toronto,Litigation,Intellectual Property,1082,899,MT1411,Saunders v. Wright,M&A,Active,New York,Litigation,Criminal Defense,Ryan Santiago,Tonya Duarte,Amber Farmer,Meghan Duncan,423247,221,CL8819,Heidi Wallace,"USCGC Osborne
FPO AE 43409",Inactive,Government,INV-20040,4/18/2024,178,160022,160,143840,583,372,89.89,80.54,181,162719,899,39735,2823,2794,5390,768,4905,Trial,Research,Document Review,6/13/2024,3,Document Review for Saunders v. Wright,Unprofitable,High,Yes,No,Yes
TK5793,Rita Fields,Paralegal,Active,Sydney,Corporate,Criminal Defense,1173,1057,MT4062,Bennett v. Buckley,Divorce,Closed,New York,Tax,M&A,John Woods,Deborah Thomas,Abigail Wilson,Danielle Brown,444322,316,CL7487,Hayes Ltd,"0198 Ball Street
Pattyview, WY 72319",Inactive,Nonprofit,INV-09185,3/11/2025,50,52850,36,38052,350,547,72,15.82,65,68705,1057,44008,3655,18368,177,4751,5766,Appeal,Negotiation,Client Meeting,2/28/2025,6,Client Meeting for Bennett v. Buckley,Profitable,High,No,Yes,No
TK4085,Anna Lopez,Paralegal,Active,London,Litigation,Intellectual Property,1234,1127,MT0256,Moore v. Knapp,Divorce,Active,California,Tax,Intellectual Property,Robert Clark,Paige Gardner,Jenna Wang,Caleb Turner,301502,356,CL6961,Justin Chapman,"58756 John Stream
Port Michael, GA 07278",Active,Government,INV-59928,2/25/2025,65,73255,47,52969,492,542,72.31,18.26,73,82271,1127,6218,7037,3888,2019,3584,9116,Settlement,Drafting,Court Appearance,10/7/2024,9,Court Appearance for Moore v. Knapp,Unprofitable,High,Yes,Yes,No
TK5707,Ryan Stafford,Of Counsel,Active,Toronto,Real Estate,Commercial Litigation,461,460,MT1804,Ryan v. Patel,Criminal Case,Closed,New York,Real Estate,Intellectual Property,Edward Moore,Martin Sandoval,Gina Spencer,Douglas Martinez,74111,314,CL5506,Tucker Ltd,"157 Carl Summit
Lake Carly, OK 74764",Active,Government,INV-09144,1/5/2024,96,44160,81,37260,425,293,84.38,30.57,112,51520,460,0,9940,19006,5697,2252,936,Appeal,Drafting,Document Review,6/18/2024,10,Document Review for Ryan v. Patel,Unprofitable,Low,Yes,No,Yes
TK0073,Chad Lawson,Of Counsel,Terminated,London,Tax,Intellectual Property,325,217,MT7861,Johnson v. Jones,Litigation,Closed,Sydney,Tax,Family Law,Christopher Lucas,Steven Kelly,Wesley King,Derek Taylor,383074,248,CL4406,"Walker, Hanna and Miller","USNV Carter
FPO AE 69606",Inactive,Corporation,INV-09544,10/21/2024,169,36673,155,33635,224,514,91.72,68.15,183,39711,217,30143,9633,5668,6951,4424,9788,Trial,Filing,Research Case Law,7/21/2024,1,Research Case Law for Johnson v. Jones,Unprofitable,High,Yes,Yes,Yes
TK1357,Stephen Walker,Associate,Terminated,New York,Corporate,M&A,536,491,MT1672,White v. Carr,Patent Filing,Closed,New York,Corporate,Family Law,Michael Mclaughlin,Stacey Allen,Emily Little,April Diaz,322345,133,CL7101,Daniel Velazquez,"013 Harris Lodge
New Timothymouth, OH 54705",Active,Nonprofit,INV-82319,2/23/2024,128,62848,128,62848,1403,420,100,96.24,141,69231,491,0,1461,16221,8676,473,1655,Settlement,Deposition,Draft Motion,10/25/2024,3,Draft Motion for White v. Carr,Profitable,Low,Yes,No,No
TK0737,Nicole Moreno,Of Counsel,Terminated,Toronto,Real Estate,M&A,1186,1008,MT5384,Patel v. Alexander,Divorce,Active,New York,Corporate,Intellectual Property,Timothy Rodriguez,Charles Johnson,Heather Nelson,Jennifer Fields,487023,140,CL8406,Maria Sanders,"73530 Toni Island Apt. 083
Carlsonfurt, MN 59511",Active,Corporation,INV-01844,2/24/2024,192,193536,187,188496,1797,785,97.4,137.14,194,195552,1008,39545,2614,1860,1870,3931,2190,Document Review,Filing,Client Meeting,4/19/2024,10,Client Meeting for Patel v. Alexander,Unprofitable,Low,No,No,Yes
TK1068,Mike Zamora,Partner,Active,New York,Real Estate,Intellectual Property,454,422,MT1880,Sanders v. Powell,Patent Filing,Active,New York,Tax,M&A,Ms. Dana Vasquez DDS,Luke Robinson,Julie Fitzgerald,Paul Fox,64162,256,CL6977,Maldonado Group,"29291 Bradley Isle Suite 330
Jonville, NV 57426",Inactive,Government,INV-55502,9/2/2023,95,40090,75,31650,806,365,78.95,37.11,106,44732,422,0,7076,19205,7451,3442,9814,Document Review,Filing,Client Meeting,8/7/2024,6,Client Meeting for Sanders v. Powell,Unprofitable,Low,Yes,Yes,No
TK4044,Audrey Orr,Associate,Terminated,New York,Corporate,Family Law,528,503,MT9100,Mcmillan v. Duncan,Divorce,Closed,New York,Litigation,M&A,Kim Decker,Shawn Castillo,Jennifer Harrison,Mark Brown,237920,405,CL2934,"Villanueva, Frye and Rodriguez","28424 Christina Pine Suite 955
West Ericstad, NM 49797",Inactive,Government,INV-53288,5/13/2023,89,44767,72,36216,736,981,80.9,21.98,100,50300,503,0,6679,1759,6931,465,9629,Document Review,Drafting,Client Meeting,3/20/2024,4,Client Meeting for Mcmillan v. Duncan,Profitable,Medium,No,Yes,Yes
TK5977,Paul Singh,Law Clerk,Terminated,Sydney,Litigation,M&A,214,127,MT5004,Smith v. Tate,Criminal Case,Active,Toronto,Corporate,M&A,Ann Brown,Joshua Wiley,Michelle Taylor,Christine Zimmerman,337480,475,CL4827,"Peterson, Adkins and Manning","2719 Sharp Motorway
Dodsonburgh, TX 08249",Inactive,Nonprofit,INV-60374,9/6/2024,160,20320,145,18415,1374,656,90.62,33.68,167,21209,127,0,2520,16273,1346,3912,540,Appeal,Research,Document Review,1/20/2025,6,Document Review for Smith v. Tate,Profitable,Low,Yes,Yes,Yes
TK0051,David Johnson,Paralegal,Terminated,New York,Litigation,M&A,839,767,MT1591,Martinez v. Anderson,Criminal Case,Active,Sydney,Litigation,M&A,Brian Coleman,Howard Newman,Mark Wilson,Curtis Olson,493473,476,CL2586,Estes PLC,"143 Mejia Skyway Apt. 334
Laurenshire, MT 18571",Active,Government,INV-88745,3/7/2024,108,82836,107,82069,1023,825,99.07,22.69,127,97409,767,12238,3010,19204,3167,3239,9763,Settlement,Drafting,Research Case Law,2/21/2025,2,Research Case Law for Martinez v. Anderson,Unprofitable,Medium,Yes,No,Yes
TK7946,Karen Solis,Partner,Terminated,London,Litigation,Commercial Litigation,178,72,MT6523,Stevenson v. Cervantes,Litigation,Active,Sydney,Litigation,Criminal Defense,Sarah Santos,Deborah Patterson,Richard Gray,Andrea Macdonald,356393,144,CL3124,Lee-Townsend,"86878 Andrew Harbors Apt. 458
Port John, KS 60944",Active,Government,INV-47548,10/26/2023,34,2448,15,1080,161,663,44.12,23.61,43,3096,72,0,1845,8576,3048,1665,4100,Trial,Deposition,Client Meeting,8/4/2024,9,Client Meeting for Stevenson v. Cervantes,Unprofitable,Medium,Yes,Yes,No
TK3396,Claudia Young,Paralegal,Terminated,Toronto,Corporate,Criminal Defense,1203,1168,MT2117,Mendoza v. Mendez,Patent Filing,Closed,London,Employment,M&A,Michelle Ayala,Paul Ward,Richard Welch,Crystal Nelson,416825,259,CL3983,Riley PLC,"954 Baxter Fords
Crystalville, DC 95781",Inactive,Corporation,INV-11915,1/11/2025,154,179872,151,176368,55,675,98.05,59.46,172,200896,1168,31672,7291,16336,7359,1597,8164,Trial,Negotiation,Client Meeting,8/27/2024,10,Client Meeting for Mendoza v. Mendez,Profitable,High,Yes,Yes,No
TK7164,Matthew Oneal,Of Counsel,Terminated,California,Corporate,Criminal Defense,283,112,MT4584,Smith v. Larson,Divorce,Closed,Toronto,Employment,Family Law,John Kennedy,Meghan Jones,Kimberly Stark,Mrs. Holly Miller,216894,451,CL8051,"Martin, Smith and Ritter","3864 Grace Green
Audreyland, OK 20953",Inactive,Nonprofit,INV-77250,8/1/2023,137,15344,123,13776,947,23,89.78,30.38,139,15568,112,21944,7703,16575,2922,853,157,Discovery,Deposition,Client Meeting,6/1/2024,3,Client Meeting for Smith v. Larson,Profitable,High,No,No,No
TK2472,Kim Horn,Law Clerk,Active,Toronto,Tax,Intellectual Property,627,524,MT2414,Quinn v. Jenkins,Criminal Case,Closed,New York,Real Estate,Criminal Defense,Jay Davis,Eric Rodriguez,Monica Newman,Donna Stewart,388149,349,CL2588,Rodriguez Inc,"4721 Johnson Shore
Port Kristenborough, SC 64189",Inactive,Nonprofit,INV-31718,5/31/2023,23,12052,5,2620,709,123,21.74,6.59,29,15196,524,0,2039,10674,4807,4106,5843,Discovery,Research,Client Meeting,9/13/2024,10,Client Meeting for Quinn v. Jenkins,Profitable,High,Yes,Yes,Yes
TK0453,Emily Mcfarland,Law Clerk,Terminated,Toronto,Employment,M&A,589,424,MT9247,Spencer v. Wallace,Criminal Case,Closed,Toronto,Employment,Commercial Litigation,Casey Smith,Danielle Wade,Jessica Rojas,Mike Bell,437092,363,CL8158,Robert Odonnell,"8846 Stevens Circles Suite 464
South Tonya, LA 37742",Active,Nonprofit,INV-95800,8/27/2024,174,73776,156,66144,1306,339,89.66,47.93,182,77168,424,0,5730,7062,6495,1240,1024,Discovery,Deposition,Court Appearance,6/16/2024,1,Court Appearance for Spencer v. Wallace,Profitable,Low,Yes,Yes,Yes
TK4629,Alexa Watts,Partner,Terminated,New York,Real Estate,Family Law,970,915,MT6039,Reese v. Allen,M&A,Active,London,Corporate,Commercial Litigation,David Mosley,Bethany Shepard,Linda Fisher,Mrs. Jennifer Baker,378691,128,CL9198,Jonathan Green PhD,"3782 Danielle Circle
East Julieside, DC 25106",Active,Government,INV-89036,3/29/2023,82,75030,68,62220,1132,1000,82.93,64.06,87,79605,915,0,9013,1705,1694,2921,3071,Trial,Research,Research Case Law,4/21/2024,8,Research Case Law for Reese v. Allen,Profitable,Low,Yes,No,Yes
TK9444,Barbara Johnson,Paralegal,Active,Sydney,Corporate,Family Law,1122,944,MT9033,Harris v. Holder,M&A,Closed,California,Litigation,M&A,Christina Franco,Harry Dickerson,Charles Mcdonald,Ms. Diana Smith,128427,118,CL6086,Martin Johnson,"8278 Linda Street Suite 857
Marcohaven, CT 92487",Inactive,Individual,INV-69860,10/30/2024,104,98176,92,86848,422,788,88.46,88.14,120,113280,944,22642,205,8144,1258,427,3569,Trial,Research,Court Appearance,12/29/2024,10,Court Appearance for Harris v. Holder,Profitable,Medium,No,No,No
TK2194,Kimberly Vasquez,Of Counsel,Terminated,London,Employment,Commercial Litigation,412,339,MT5143,Hill v. Navarro,Patent Filing,Active,Toronto,Corporate,Commercial Litigation,Timothy Wells,Roger Clayton,Brian Roy,Dr. Alex Cortez,309338,219,CL5479,Young-Sanchez,"425 Johnson Divide Apt. 191
Zavalafort, MD 93386",Inactive,Corporation,INV-43030,10/24/2023,52,17628,42,14238,1934,379,80.77,23.74,65,22035,339,21237,9758,15146,8511,3768,2254,Appeal,Negotiation,Court Appearance,3/20/2024,3,Court Appearance for Hill v. Navarro,Profitable,Low,No,Yes,No
TK6615,Erica Williams,Of Counsel,Active,London,Litigation,Criminal Defense,1397,1231,MT9104,Stewart v. Rodriguez,Divorce,Active,Sydney,Corporate,Commercial Litigation,Catherine Torres,Melinda Palmer,Amanda Conway,Angela Adams,391159,388,CL8562,David Lynn,"40241 Dean Roads Apt. 807
South Laurenmouth, VA 38770",Inactive,Individual,INV-01775,12/11/2024,32,39392,23,28313,1986,730,71.88,8.25,41,50471,1231,26209,7713,11005,2441,3094,382,Discovery,Filing,Client Meeting,11/1/2024,6,Client Meeting for Stewart v. Rodriguez,Profitable,Low,No,Yes,No
TK8464,Brian Joseph,Paralegal,Terminated,California,Real Estate,Criminal Defense,438,395,MT3697,Butler v. Jones,Patent Filing,Active,Toronto,Employment,Criminal Defense,Dominique Valdez,Dustin Fox,Michelle Wyatt,Douglas Novak,251453,273,CL1514,Derek Craig,"5346 Wyatt Bridge Suite 358
Kristinmouth, KS 86691",Active,Individual,INV-63269,12/24/2023,109,43055,105,41475,1518,230,96.33,39.93,113,44635,395,0,2675,19540,6908,3739,3714,Trial,Negotiation,Research Case Law,7/31/2024,10,Research Case Law for Butler v. Jones,Profitable,Low,Yes,No,Yes
TK9497,Ariana York,Partner,Terminated,California,Litigation,Intellectual Property,776,606,MT5700,Vincent v. Hogan,Criminal Case,Closed,California,Real Estate,M&A,Adam Hernandez,Ronald Lucas,Dr. Patrick Salazar,Donna Bailey,276508,236,CL8660,Malone-Johnson,"566 Davis Fords
Sarahborough, PR 79343",Active,Corporation,INV-86768,3/8/2024,34,20604,17,10302,575,620,50,14.41,37,22422,606,7598,9630,17407,169,3492,1932,Document Review,Drafting,Document Review,1/26/2025,1,Document Review for Vincent v. Hogan,Unprofitable,High,Yes,Yes,Yes
TK0870,Nathan Small,Partner,Terminated,Toronto,Litigation,Criminal Defense,786,695,MT8640,Jacobs v. Moore,Litigation,Active,California,Real Estate,M&A,Melissa Jones,Samuel Brown,Theresa Stephens,Anna Rivera,405706,253,CL6050,"Scott, Townsend and Harris","Unit 9355 Box 4953
DPO AE 61068",Active,Nonprofit,INV-44702,1/20/2024,44,30580,29,20155,1136,229,65.91,17.39,55,38225,695,9551,3746,6049,9596,2128,1218,Appeal,Research,Research Case Law,8/27/2024,10,Research Case Law for Jacobs v. Moore,Unprofitable,Medium,No,No,No
TK8100,Natalie Sanchez,Law Clerk,Active,New York,Corporate,Intellectual Property,939,923,MT9595,Johnson v. Reeves,Divorce,Active,New York,Employment,M&A,Roger Williams,Theresa Nelson,Deborah Salinas,James Tran,64532,152,CL0884,Molina LLC,"1553 Parker Ville
Lake Edwardborough, MN 43675",Active,Government,INV-59603,12/30/2023,68,62764,48,44304,1155,531,70.59,44.74,78,71994,923,0,9008,5181,6559,3637,9797,Appeal,Deposition,Document Review,1/17/2025,6,Document Review for Johnson v. Reeves,Unprofitable,High,Yes,Yes,Yes
TK7953,Carlos Hurley,Paralegal,Active,London,Corporate,Criminal Defense,612,428,MT6084,Russell v. Massey,Divorce,Closed,New York,Real Estate,M&A,Jerry Davidson,Jill Moore,Joseph Hensley,Rhonda Booth,119193,260,CL0082,Williams-Curtis,"544 Edwards Plains
South Nathantown, PA 35599",Inactive,Corporation,INV-18693,4/1/2024,95,40660,95,40660,823,11,100,36.54,115,49220,428,45866,3684,15614,9734,2596,1041,Document Review,Filing,Client Meeting,7/11/2024,8,Client Meeting for Russell v. Massey,Profitable,Low,Yes,No,No
TK8154,Lori Cook,Paralegal,Terminated,London,Corporate,Commercial Litigation,746,685,MT9914,Cruz v. Singh,Criminal Case,Closed,Sydney,Litigation,Criminal Defense,Selena Weaver,Christian Howard,Kelly Gentry,Michael Brown,297422,276,CL1686,Mark Mack,"33203 Kelly Heights
Smithville, ME 97342",Active,Government,INV-01449,7/20/2023,169,115765,163,111655,1823,856,96.45,61.23,177,121245,685,47616,9359,7981,483,4340,7086,Document Review,Negotiation,Document Review,6/29/2024,2,Document Review for Cruz v. Singh,Unprofitable,Low,No,No,No
TK1333,Rebecca Henson,Partner,Active,Toronto,Corporate,Family Law,1449,1339,MT7095,Fowler v. Smith,Patent Filing,Active,Sydney,Employment,M&A,Anna Martin,Melissa Sullivan,Michael Turner,Michael Smith,272308,417,CL7466,Ferguson-Drake,"0228 Julie Ridge Suite 167
Wheelermouth, FL 75379",Active,Corporation,INV-51392,5/19/2023,32,42848,23,30797,1369,217,71.88,7.67,32,42848,1339,0,4553,11268,3499,560,4090,Discovery,Research,Draft Motion,5/6/2024,2,Draft Motion for Fowler v. Smith,Unprofitable,Low,No,Yes,No
TK8355,Nancy Davis,Law Clerk,Active,California,Litigation,Intellectual Property,597,514,MT6421,Stephens v. Knight,Litigation,Active,Sydney,Litigation,Intellectual Property,Mary Hernandez,James Burns,Tyler Johnson,Marcus Rodriguez,75199,222,CL1757,Travis Hartman,"25785 Virginia Course Suite 384
New Marcus, SD 38468",Inactive,Government,INV-44433,11/12/2023,149,76586,135,69390,708,174,90.6,67.12,162,83268,514,7745,1223,11984,1449,3142,4595,Trial,Filing,Court Appearance,10/29/2024,2,Court Appearance for Stephens v. Knight,Unprofitable,Low,Yes,No,Yes
TK4737,Nicole King,Paralegal,Terminated,New York,Real Estate,M&A,1380,1282,MT6165,Aguilar v. Bryant,M&A,Active,London,Employment,M&A,Nicole Hunter,Robert Sanchez,Laura Thompson,Richard Howard,235517,252,CL6420,"Lewis, Bush and Carter","04286 Joel Tunnel
South Vanessabury, OH 10145",Active,Corporation,INV-16189,7/1/2024,172,220504,161,206402,1533,837,93.6,68.25,191,244862,1282,0,8669,10704,3200,1370,3170,Discovery,Deposition,Draft Motion,2/5/2025,6,Draft Motion for Aguilar v. Bryant,Profitable,High,Yes,Yes,No
TK0489,Tina Golden,Paralegal,Terminated,Toronto,Litigation,Family Law,1008,848,MT9886,Hall v. Mcknight,M&A,Closed,California,Corporate,M&A,Zachary Rich,Jacob White,Diana Sullivan,Christina Carpenter,475330,344,CL8848,Johnson-Reese,"635 Keller Village Suite 241
North Dylanborough, NY 42204",Inactive,Nonprofit,INV-85661,11/1/2024,33,27984,30,25440,1443,293,90.91,9.59,48,40704,848,0,2877,2967,6744,2978,4139,Appeal,Deposition,Court Appearance,6/11/2024,1,Court Appearance for Hall v. Mcknight,Unprofitable,Medium,No,Yes,Yes
