Timekeeper ID,Timekeeper Name,Timekeeper Role,Standard Rate,Work Rate,Matter ID,Matter Name,Matter Type,Client ID,Client Name,Invoice Date,Billed Hours,Billed Amount,Collected Hours,Collected Amount,Write Off Amount,Discount Amount,Realization Rate,Utilization Rate,Worked Hours,Worked Amount,Effective Rate,Time Entry Date,Time Entry Hours,Time Entry Description,Underbilling Flag,Discount Flag
TK2171,Matthew Davis,Partner,306,199,MT1883,Barber v. Mendoza,Patent Filing,CL2719,Joseph Davis,7/12/2024,123,24477,104,20696,1639,462,84.55,110.81,135,26865,199,5/30/2024,4,Research Case Law for Barber v. Mendoza,Yes,No
TK9704,Tonya Hampton,Paralegal,212,68,MT8101,Martinez v. Harris,M&A,CL6835,Vargas-Baxter,12/16/2024,127,8636,110,7480,451,352,86.61,46.52,134,9112,68,7/26/2024,6,Draft Motion for Martinez v. Harris,No,Yes
TK3315,Joshua Meyer,Paralegal,451,336,MT1922,Chen v. Mccormick,M&A,CL0294,Tamara Martin,11/6/2024,153,51408,144,48384,1056,618,94.12,35.58,153,51408,336,5/12/2024,3,Draft Motion for Chen v. Mccormick,Yes,Yes
TK3171,Erika Fischer,Of Counsel,739,584,MT5079,Arroyo v. Nielsen,Divorce,CL4992,Carr LLC,3/14/2025,121,70664,101,58984,947,933,83.47,39.67,127,74168,584,5/6/2024,5,Document Review for Arroyo v. Nielsen,No,Yes
TK2697,Luis Gibson PhD,Law Clerk,441,397,MT9111,Colon v. Smith,Litigation,CL1295,Young-Valenzuela,10/25/2023,189,75033,184,73048,596,800,97.35,45.76,193,76621,397,3/14/2025,1,Client Meeting for Colon v. Smith,No,Yes
TK7603,Ricky Lee,Partner,1082,899,MT1411,Saunders v. Wright,M&A,CL8819,Heidi Wallace,4/18/2024,178,160022,160,143840,583,372,89.89,80.54,181,162719,899,6/13/2024,3,Document Review for Saunders v. Wright,Yes,Yes
TK5793,Rita Fields,Paralegal,1173,1057,MT4062,Bennett v. Buckley,Divorce,CL7487,Hayes Ltd,3/11/2025,50,52850,36,38052,350,547,72,15.82,65,68705,1057,2/28/2025,6,Client Meeting for Bennett v. Buckley,No,No
TK4085,Anna Lopez,Paralegal,1234,1127,MT0256,Moore v. Knapp,Divorce,CL6961,Justin Chapman,2/25/2025,65,73255,47,52969,492,542,72.31,18.26,73,82271,1127,10/7/2024,9,Court Appearance for Moore v. Knapp,Yes,No
TK5707,Ryan Stafford,Of Counsel,461,460,MT1804,Ryan v. Patel,Criminal Case,CL5506,Tucker Ltd,1/5/2024,96,44160,81,37260,425,293,84.38,30.57,112,51520,460,6/18/2024,10,Document Review for Ryan v. Patel,Yes,Yes
TK0073,Chad Lawson,Of Counsel,325,217,MT7861,Johnson v. Jones,Litigation,CL4406,"Walker, Hanna and Miller",10/21/2024,169,36673,155,33635,224,514,91.72,68.15,183,39711,217,7/21/2024,1,Research Case Law for Johnson v. Jones,Yes,Yes
TK1357,Stephen Walker,Associate,536,491,MT1672,White v. Carr,Patent Filing,CL7101,Daniel Velazquez,2/23/2024,128,62848,128,62848,1403,420,100,96.24,141,69231,491,10/25/2024,3,Draft Motion for White v. Carr,Yes,No
TK0737,Nicole Moreno,Of Counsel,1186,1008,MT5384,Patel v. Alexander,Divorce,CL8406,Maria Sanders,2/24/2024,192,193536,187,188496,1797,785,97.4,137.14,194,195552,1008,4/19/2024,10,Client Meeting for Patel v. Alexander,No,Yes
TK1068,Mike Zamora,Partner,454,422,MT1880,Sanders v. Powell,Patent Filing,CL6977,Maldonado Group,9/2/2023,95,40090,75,31650,806,365,78.95,37.11,106,44732,422,8/7/2024,6,Client Meeting for Sanders v. Powell,Yes,No
TK4044,Audrey Orr,Associate,528,503,MT9100,Mcmillan v. Duncan,Divorce,CL2934,"Villanueva, Frye and Rodriguez",5/13/2023,89,44767,72,36216,736,981,80.9,21.98,100,50300,503,3/20/2024,4,Client Meeting for Mcmillan v. Duncan,No,Yes
TK5977,Paul Singh,Law Clerk,214,127,MT5004,Smith v. Tate,Criminal Case,CL4827,"Peterson, Adkins and Manning",9/6/2024,160,20320,145,18415,1374,656,90.62,33.68,167,21209,127,1/20/2025,6,Document Review for Smith v. Tate,Yes,Yes
TK0051,David Johnson,Paralegal,839,767,MT1591,Martinez v. Anderson,Criminal Case,CL2586,Estes PLC,3/7/2024,108,82836,107,82069,1023,825,99.07,22.69,127,97409,767,2/21/2025,2,Research Case Law for Martinez v. Anderson,Yes,Yes
TK7946,Karen Solis,Partner,178,72,MT6523,Stevenson v. Cervantes,Litigation,CL3124,Lee-Townsend,10/26/2023,34,2448,15,1080,161,663,44.12,23.61,43,3096,72,8/4/2024,9,Client Meeting for Stevenson v. Cervantes,Yes,No
TK3396,Claudia Young,Paralegal,1203,1168,MT2117,Mendoza v. Mendez,Patent Filing,CL3983,Riley PLC,1/11/2025,154,179872,151,176368,55,675,98.05,59.46,172,200896,1168,8/27/2024,10,Client Meeting for Mendoza v. Mendez,Yes,No
TK7164,Matthew Oneal,Of Counsel,283,112,MT4584,Smith v. Larson,Divorce,CL8051,"Martin, Smith and Ritter",8/1/2023,137,15344,123,13776,947,23,89.78,30.38,139,15568,112,6/1/2024,3,Client Meeting for Smith v. Larson,No,No
TK2472,Kim Horn,Law Clerk,627,524,MT2414,Quinn v. Jenkins,Criminal Case,CL2588,Rodriguez Inc,5/31/2023,23,12052,5,2620,709,123,21.74,6.59,29,15196,524,9/13/2024,10,Client Meeting for Quinn v. Jenkins,Yes,Yes
TK0453,Emily Mcfarland,Law Clerk,589,424,MT9247,Spencer v. Wallace,Criminal Case,CL8158,Robert Odonnell,8/27/2024,174,73776,156,66144,1306,339,89.66,47.93,182,77168,424,6/16/2024,1,Court Appearance for Spencer v. Wallace,Yes,Yes
TK4629,Alexa Watts,Partner,970,915,MT6039,Reese v. Allen,M&A,CL9198,Jonathan Green PhD,3/29/2023,82,75030,68,62220,1132,1000,82.93,64.06,87,79605,915,4/21/2024,8,Research Case Law for Reese v. Allen,Yes,Yes
TK9444,Barbara Johnson,Paralegal,1122,944,MT9033,Harris v. Holder,M&A,CL6086,Martin Johnson,10/30/2024,104,98176,92,86848,422,788,88.46,88.14,120,113280,944,12/29/2024,10,Court Appearance for Harris v. Holder,No,No
TK2194,Kimberly Vasquez,Of Counsel,412,339,MT5143,Hill v. Navarro,Patent Filing,CL5479,Young-Sanchez,10/24/2023,52,17628,42,14238,1934,379,80.77,23.74,65,22035,339,3/20/2024,3,Court Appearance for Hill v. Navarro,No,No
TK6615,Erica Williams,Of Counsel,1397,1231,MT9104,Stewart v. Rodriguez,Divorce,CL8562,David Lynn,12/11/2024,32,39392,23,28313,1986,730,71.88,8.25,41,50471,1231,11/1/2024,6,Client Meeting for Stewart v. Rodriguez,No,No
TK8464,Brian Joseph,Paralegal,438,395,MT3697,Butler v. Jones,Patent Filing,CL1514,Derek Craig,12/24/2023,109,43055,105,41475,1518,230,96.33,39.93,113,44635,395,7/31/2024,10,Research Case Law for Butler v. Jones,Yes,Yes
TK9497,Ariana York,Partner,776,606,MT5700,Vincent v. Hogan,Criminal Case,CL8660,Malone-Johnson,3/8/2024,34,20604,17,10302,575,620,50,14.41,37,22422,606,1/26/2025,1,Document Review for Vincent v. Hogan,Yes,Yes
TK0870,Nathan Small,Partner,786,695,MT8640,Jacobs v. Moore,Litigation,CL6050,"Scott, Townsend and Harris",1/20/2024,44,30580,29,20155,1136,229,65.91,17.39,55,38225,695,8/27/2024,10,Research Case Law for Jacobs v. Moore,No,No
TK8100,Natalie Sanchez,Law Clerk,939,923,MT9595,Johnson v. Reeves,Divorce,CL0884,Molina LLC,12/30/2023,68,62764,48,44304,1155,531,70.59,44.74,78,71994,923,1/17/2025,6,Document Review for Johnson v. Reeves,Yes,Yes
TK7953,Carlos Hurley,Paralegal,612,428,MT6084,Russell v. Massey,Divorce,CL0082,Williams-Curtis,4/1/2024,95,40660,95,40660,823,11,100,36.54,115,49220,428,7/11/2024,8,Client Meeting for Russell v. Massey,Yes,No
TK8154,Lori Cook,Paralegal,746,685,MT9914,Cruz v. Singh,Criminal Case,CL1686,Mark Mack,7/20/2023,169,115765,163,111655,1823,856,96.45,61.23,177,121245,685,6/29/2024,2,Document Review for Cruz v. Singh,No,No
TK1333,Rebecca Henson,Partner,1449,1339,MT7095,Fowler v. Smith,Patent Filing,CL7466,Ferguson-Drake,5/19/2023,32,42848,23,30797,1369,217,71.88,7.67,32,42848,1339,5/6/2024,2,Draft Motion for Fowler v. Smith,No,No
TK8355,Nancy Davis,Law Clerk,597,514,MT6421,Stephens v. Knight,Litigation,CL1757,Travis Hartman,11/12/2023,149,76586,135,69390,708,174,90.6,67.12,162,83268,514,10/29/2024,2,Court Appearance for Stephens v. Knight,Yes,Yes
TK4737,Nicole King,Paralegal,1380,1282,MT6165,Aguilar v. Bryant,M&A,CL6420,"Lewis, Bush and Carter",7/1/2024,172,220504,161,206402,1533,837,93.6,68.25,191,244862,1282,2/5/2025,6,Draft Motion for Aguilar v. Bryant,Yes,No
TK0489,Tina Golden,Paralegal,1008,848,MT9886,Hall v. Mcknight,M&A,CL8848,Johnson-Reese,11/1/2024,33,27984,30,25440,1443,293,90.91,9.59,48,40704,848,6/11/2024,1,Court Appearance for Hall v. Mcknight,No,Yes
TK6381,Sarah Walsh,Partner,1338,1188,MT4392,Merritt v. Castro,Divorce,CL3523,Maria Gilbert,6/21/2024,113,134244,96,114048,1873,708,84.96,24.15,130,154440,1188,12/7/2024,8,Court Appearance for Merritt v. Castro,No,No
TK1756,Ashley Stokes,Law Clerk,451,369,MT4842,Harris v. Brown,Divorce,CL9473,Jamie Perry,10/8/2023,127,46863,122,45018,1622,965,96.06,86.39,133,49077,369,2/16/2025,10,Draft Motion for Harris v. Brown,No,No
TK4500,Kim Miller,Associate,1103,978,MT0716,Davis v. Hoover,Divorce,CL8793,Kenneth Obrien,2/18/2024,42,41076,31,30318,1907,221,73.81,10.55,61,59658,978,2/13/2025,7,Document Review for Davis v. Hoover,No,No
TK0625,Frances Hahn,Of Counsel,276,199,MT8652,Calderon v. Brown,M&A,CL5982,Debra Singleton,9/14/2023,86,17114,80,15920,684,135,93.02,24.16,87,17313,199,6/2/2024,5,Client Meeting for Calderon v. Brown,Yes,Yes
TK4966,Donna Wells,Partner,620,445,MT0857,Gonzalez v. Morales,Litigation,CL6452,Lyons-Adams,5/12/2023,186,82770,174,77430,1232,422,93.55,50,200,89000,445,8/17/2024,1,Court Appearance for Gonzalez v. Morales,No,No
TK9658,Justin Klein,Law Clerk,260,93,MT3911,Wagner v. Craig,Patent Filing,CL6422,Barnes Inc,3/8/2024,124,11532,115,10695,1067,174,92.74,52.77,141,13113,93,3/14/2025,2,Client Meeting for Wagner v. Craig,Yes,No
TK9329,Robert Larson,Partner,284,165,MT3838,Alexander v. Myers,Litigation,CL4296,Amy Hester,6/22/2024,113,18645,93,15345,1275,755,82.3,25.92,132,21780,165,7/22/2024,7,Research Case Law for Alexander v. Myers,Yes,No
TK9439,Dawn Jones,Paralegal,203,144,MT4824,Martinez v. Horton,M&A,CL6528,Sharon Hendrix,11/18/2023,103,14832,91,13104,1215,864,88.35,79.84,110,15840,144,11/7/2024,3,Court Appearance for Martinez v. Horton,No,Yes
TK4930,Vanessa Mclaughlin,Law Clerk,353,287,MT7391,Gallagher v. White,Divorce,CL0985,"Guerrero, Cruz and Burch",6/26/2024,164,47068,160,45920,76,28,97.56,39.14,174,49938,287,9/7/2024,2,Court Appearance for Gallagher v. White,Yes,Yes
TK3672,Courtney Townsend,Of Counsel,1493,1335,MT2665,Beck v. Anderson,Litigation,CL7846,James Barton,4/25/2023,141,188235,128,170880,1945,285,90.78,29.13,153,204255,1335,12/17/2024,2,Research Case Law for Beck v. Anderson,No,No
TK3650,Jacqueline Miller,Partner,961,876,MT4689,Cardenas v. West,Litigation,CL0885,Lisa Gibson,2/24/2025,109,95484,96,84096,1592,118,88.07,53.96,120,105120,876,12/11/2024,1,Court Appearance for Cardenas v. West,Yes,Yes
TK6695,James Lee,Of Counsel,268,147,MT3826,Miller v. Taylor,Divorce,CL7411,Hooper and Sons,3/26/2024,186,27342,180,26460,530,625,96.77,105.68,188,27636,147,8/24/2024,10,Client Meeting for Miller v. Taylor,No,Yes
TK5374,Jacqueline Ramirez,Paralegal,1403,1336,MT6627,Lin v. Porter,Litigation,CL7225,Michelle Mack,10/18/2024,192,256512,188,251168,202,420,97.92,41.56,203,271208,1336,12/19/2024,10,Document Review for Lin v. Porter,No,No
TK1907,Jeffrey Neal,Of Counsel,252,125,MT5862,George v. Cox,Divorce,CL3072,Sosa-Carr,2/16/2024,105,13125,100,12500,480,94,95.24,49.76,114,14250,125,7/22/2024,9,Draft Motion for George v. Cox,No,No
TK2646,Amber Green,Paralegal,368,316,MT4641,Williams v. Peterson,Divorce,CL5496,Richardson PLC,8/15/2024,176,55616,156,49296,1511,374,88.64,99.44,179,56564,316,6/17/2024,9,Court Appearance for Williams v. Peterson,Yes,No
TK3306,Amanda Scott,Law Clerk,939,810,MT1180,Kline v. Ramirez,Litigation,CL2531,Jordan-Powell,10/22/2024,71,57510,62,50220,799,854,87.32,15.85,72,58320,810,4/18/2024,8,Draft Motion for Kline v. Ramirez,Yes,No
TK0241,William Castaneda,Paralegal,1326,1288,MT3780,Taylor v. Lowe,M&A,CL7565,"Parker, Wilson and Powers",5/29/2024,42,54096,41,52808,1674,286,97.62,34.15,57,73416,1288,8/5/2024,2,Draft Motion for Taylor v. Lowe,Yes,Yes
TK6417,Samantha Chapman,Law Clerk,1208,1098,MT1554,Flores v. Brown,Litigation,CL6720,Smith Ltd,5/8/2024,121,132858,117,128466,868,512,96.69,41.44,132,144936,1098,5/4/2024,6,Client Meeting for Flores v. Brown,Yes,Yes
TK6920,Kathryn Smith,Law Clerk,1440,1359,MT1221,Williams v. Nelson,Divorce,CL7075,"Williams, Hernandez and Weaver",4/6/2023,139,188901,136,184824,768,642,97.84,36.48,147,199773,1359,1/12/2025,1,Research Case Law for Williams v. Nelson,Yes,No
TK3354,Noah Horne,Law Clerk,1419,1306,MT1696,Ritter v. Mcdonald,Litigation,CL8821,"Hammond, Saunders and Dunn",10/6/2023,143,186758,138,180228,343,312,96.5,35.84,156,203736,1306,2/6/2025,4,Client Meeting for Ritter v. Mcdonald,No,Yes
TK0841,Raymond Howard,Partner,1078,961,MT0295,Lewis v. Fitzgerald,M&A,CL4274,Flores-Sampson,4/16/2023,165,158565,150,144150,1794,572,90.91,43.54,185,177785,961,4/21/2024,3,Client Meeting for Lewis v. Fitzgerald,No,Yes
TK7973,Laura Curtis,Partner,597,498,MT4144,Phillips v. Tran,Divorce,CL1383,"Martinez, Cook and Brennan",2/14/2025,163,81174,151,75198,715,47,92.64,83.16,172,85656,498,3/20/2024,1,Draft Motion for Phillips v. Tran,Yes,Yes
TK6654,Bailey Cook,Paralegal,394,309,MT7414,Stanley v. Cook,Divorce,CL3708,Robert Peterson,5/3/2024,22,6798,7,2163,114,636,31.82,10.63,42,12978,309,4/17/2024,8,Client Meeting for Stanley v. Cook,Yes,Yes
TK0879,David Bolton,Law Clerk,843,810,MT9038,Elliott v. Rose,M&A,CL0306,Lisa Cox,8/7/2024,112,90720,94,76140,1740,802,83.93,30.68,119,96390,810,7/29/2024,4,Draft Motion for Elliott v. Rose,No,No
TK2484,Elizabeth Miller,Of Counsel,700,588,MT7757,Campbell v. Simpson,Divorce,CL6792,Burgess-Nguyen,2/3/2025,154,90552,151,88788,627,199,98.05,30.86,162,95256,588,8/17/2024,5,Document Review for Campbell v. Simpson,Yes,Yes
TK6945,Laura Murphy,Partner,504,366,MT4546,Murray v. Johnson,Divorce,CL0102,"Ross, Sanchez and Bruce",11/10/2024,105,38430,88,32208,876,53,83.81,33.33,105,38430,366,7/2/2024,5,Document Review for Murray v. Johnson,Yes,Yes
TK9548,Laura Adkins DDS,Associate,1212,1101,MT6376,Rhodes v. Malone,Divorce,CL4898,Anderson-Beck,6/13/2024,109,120009,90,99090,1270,795,82.57,58.92,127,139827,1101,11/13/2024,4,Document Review for Rhodes v. Malone,Yes,Yes
TK8575,Nicole Santiago,Partner,587,567,MT3893,Bryant v. Johnson,Litigation,CL4916,Cuevas PLC,4/26/2024,103,58401,100,56700,1390,984,97.09,31.5,117,66339,567,8/21/2024,2,Court Appearance for Bryant v. Johnson,No,Yes
TK6652,Laura Bates,Law Clerk,192,103,MT9557,Smith v. Daniels,M&A,CL5563,Valerie Allen,8/6/2024,185,19055,168,17304,1058,368,90.81,61.46,202,20806,103,10/1/2024,5,Document Review for Smith v. Daniels,No,No
TK7962,Margaret Robinson,Associate,1266,1085,MT3086,Curtis v. Lee,M&A,CL4215,Boyle PLC,10/14/2023,23,24955,6,6510,1727,117,26.09,11.79,32,34720,1085,7/21/2024,8,Client Meeting for Curtis v. Lee,No,Yes
TK7540,Jeffery Shepard,Law Clerk,1198,1024,MT5516,Brown v. Young,Litigation,CL9997,"Martinez, Reyes and Reese",3/12/2025,188,192512,171,175104,1799,775,90.96,110.59,195,199680,1024,11/17/2024,10,Draft Motion for Brown v. Young,No,No
TK2616,Christina Hunter,Of Counsel,1476,1326,MT6228,Larsen v. Ramos,M&A,CL0085,"Daniel, Rios and Jones",11/30/2023,89,118014,86,114036,779,182,96.63,32.6,95,125970,1326,8/31/2024,8,Court Appearance for Larsen v. Ramos,Yes,Yes
TK8924,Carolyn Williams,Paralegal,1382,1340,MT4018,Gould v. Lee,Divorce,CL5021,Derrick Greene,11/2/2024,144,192960,139,186260,798,66,96.53,56.92,162,217080,1340,2/5/2025,6,Court Appearance for Gould v. Lee,Yes,No
TK3154,Joseph Lopez,Of Counsel,874,734,MT6143,West v. Snow,Criminal Case,CL0962,"Collins, Warner and Woods",7/25/2024,161,118174,144,105696,1746,986,89.44,61.22,176,129184,734,8/30/2024,7,Document Review for West v. Snow,No,Yes
TK2874,Timothy Richardson,Paralegal,1176,1131,MT9948,Dixon v. Ellis,Criminal Case,CL1170,Anne Warner,2/16/2025,196,221676,176,199056,1465,797,89.8,63.43,199,225069,1131,8/14/2024,7,Research Case Law for Dixon v. Ellis,No,No
TK1037,Dr. Michael Kelly,Partner,279,249,MT5690,Pitts v. Miles,Divorce,CL3822,Patel Group,7/5/2023,153,38097,144,35856,575,35,94.12,75.37,160,39840,249,4/25/2024,2,Court Appearance for Pitts v. Miles,No,Yes
TK3311,Aaron Zavala MD,Law Clerk,321,194,MT9600,Patrick v. Hubbard,Criminal Case,CL3273,"Gonzalez, Rodriguez and Harvey",1/17/2025,126,24444,115,22310,1914,206,91.27,30.66,137,26578,194,8/30/2024,4,Court Appearance for Patrick v. Hubbard,Yes,Yes
TK6031,Brianna Byrd,Associate,652,617,MT6698,Hudson v. Sweeney,Patent Filing,CL1130,"Bernard, Turner and Mooney",11/18/2024,71,43807,66,40722,1112,272,92.96,32.13,87,53679,617,5/20/2024,6,Court Appearance for Hudson v. Sweeney,No,No
TK9573,John Watkins,Paralegal,914,825,MT7656,Henderson v. Clark,Patent Filing,CL3387,"Jackson, Walker and Morrison",10/30/2024,96,79200,88,72600,450,460,91.67,21.15,98,80850,825,7/9/2024,9,Client Meeting for Henderson v. Clark,No,Yes
TK3587,Alexandria Fields,Partner,991,990,MT1342,Hahn v. Turner,Litigation,CL2612,Jennifer Li,8/27/2024,41,40590,29,28710,374,126,70.73,8.82,53,52470,990,10/18/2024,4,Document Review for Hahn v. Turner,Yes,No
TK3542,David Craig,Law Clerk,461,386,MT5250,Sherman v. Martin,Patent Filing,CL5150,Perez Inc,1/5/2025,173,66778,161,62146,506,247,93.06,41.69,191,73726,386,3/2/2025,8,Research Case Law for Sherman v. Martin,No,No
TK0030,Hannah Roberts,Of Counsel,443,431,MT6021,Reeves v. Becker,Patent Filing,CL5367,Williams-Lopez,6/27/2024,63,27153,50,21550,1392,7,79.37,14.58,69,29739,431,1/17/2025,7,Research Case Law for Reeves v. Becker,No,No
TK3151,Jessica White,Of Counsel,681,541,MT6578,Freeman v. Jones,Patent Filing,CL1638,Contreras and Sons,8/6/2023,81,43821,77,41657,926,494,95.06,16.53,91,49231,541,10/28/2024,6,Client Meeting for Freeman v. Jones,Yes,No
TK2504,Michael Aguirre,Partner,1083,963,MT4105,Graves v. Davis,M&A,CL5284,Alexander Group,4/28/2024,112,107856,93,89559,1893,447,83.04,24.62,113,108819,963,9/26/2024,9,Research Case Law for Graves v. Davis,Yes,No
TK3290,Wanda Johnson,Partner,568,505,MT6068,Park v. Harmon,Criminal Case,CL5141,Garcia and Sons,5/6/2023,152,76760,142,71710,221,7,93.42,38.38,169,85345,505,2/25/2025,1,Court Appearance for Park v. Harmon,Yes,Yes
TK8604,Shane Cherry,Paralegal,866,724,MT4855,Lowery v. Young,Litigation,CL7276,Anthony Jones,10/14/2023,165,119460,150,108600,891,746,90.91,35.56,181,131044,724,2/16/2025,9,Research Case Law for Lowery v. Young,No,Yes
TK8296,Andrea Obrien,Paralegal,420,226,MT3236,Russell v. Young,Litigation,CL2961,Michael Harris,5/22/2024,150,33900,141,31866,905,849,94,33.63,154,34804,226,1/15/2025,6,Court Appearance for Russell v. Young,Yes,Yes
TK0460,Todd Marshall,Law Clerk,274,181,MT5637,Williams v. Johnson,Litigation,CL5864,"Moreno, Dawson and James",12/13/2023,166,30046,159,28779,1956,586,95.78,34.44,178,32218,181,2/3/2025,9,Document Review for Williams v. Johnson,Yes,Yes
TK5747,Vanessa Larson,Paralegal,1165,976,MT2985,Reynolds v. West,M&A,CL5872,Johnston-Graham,11/16/2023,165,161040,157,153232,1470,898,95.15,71.43,172,167872,976,12/27/2024,2,Research Case Law for Reynolds v. West,No,No
TK4539,Amy Mccall,Law Clerk,871,679,MT3972,Perry v. Pena,M&A,CL1607,Barnes-Garcia,7/31/2024,195,132405,176,119504,1284,770,90.26,52.28,213,144627,679,10/3/2024,4,Client Meeting for Perry v. Pena,No,No
TK4075,Stacey Love,Associate,1287,1242,MT9667,Andersen v. Hill,Patent Filing,CL0755,Hurst Inc,11/10/2024,40,49680,38,47196,1067,963,95,8.42,40,49680,1242,12/13/2024,1,Document Review for Andersen v. Hill,Yes,No
TK5295,Heather Ward,Law Clerk,1435,1369,MT6500,Green v. Turner,Divorce,CL6774,Gregory Obrien,10/27/2024,146,199874,146,199874,272,554,100,35.27,148,202612,1369,6/8/2024,3,Client Meeting for Green v. Turner,Yes,Yes
TK3056,Michael Atkinson,Of Counsel,828,827,MT7820,Martin v. Tate,Patent Filing,CL5598,Ward PLC,7/16/2023,102,84354,97,80219,651,734,95.1,41.8,120,99240,827,3/1/2025,5,Draft Motion for Martin v. Tate,Yes,Yes
TK8643,Samantha Crosby,Partner,150,75,MT1014,Cabrera v. Gonzalez,Litigation,CL7812,"Thomas, Ayala and Mcdonald",9/15/2023,154,11550,147,11025,822,827,95.45,36.24,162,12150,75,6/12/2024,10,Research Case Law for Cabrera v. Gonzalez,Yes,No
TK4219,Ryan Dawson,Paralegal,420,230,MT9290,Hughes v. Morrow,M&A,CL9343,Martinez-Anderson,5/12/2023,63,14490,54,12420,1246,298,85.71,12.86,72,16560,230,2/23/2025,7,Client Meeting for Hughes v. Morrow,Yes,Yes
TK4090,Dale Valdez,Of Counsel,275,273,MT4918,Myers v. Smith,Criminal Case,CL6150,Anthony Gonzalez,3/5/2025,189,51597,171,46683,838,112,90.48,63.64,202,55146,273,2/13/2025,10,Client Meeting for Myers v. Smith,Yes,Yes
TK0159,Erika Key,Associate,154,28,MT5342,Klein v. Mcdonald,Patent Filing,CL2433,Knight-Bullock,6/9/2023,92,2576,75,2100,128,815,81.52,36.8,109,3052,28,5/23/2024,8,Court Appearance for Klein v. Mcdonald,Yes,Yes
TK5920,Charles Sanchez,Associate,1108,996,MT0947,Guerra v. Palmer,Criminal Case,CL8995,Anderson-Joyce,7/4/2023,129,128484,110,109560,233,274,85.27,89.58,130,129480,996,2/8/2025,2,Research Case Law for Guerra v. Palmer,Yes,Yes
TK8891,William Ramirez,Law Clerk,1380,1290,MT2431,Bass v. Wright,M&A,CL8963,Adams LLC,7/11/2023,68,87720,63,81270,96,297,92.65,36.36,73,94170,1290,4/8/2024,8,Court Appearance for Bass v. Wright,No,No
TK7786,Amanda Roberts,Associate,251,121,MT0318,Bradshaw v. Paul,Litigation,CL5918,"Smith, Schaefer and Wells",2/2/2025,89,10769,82,9922,929,42,92.13,19.65,107,12947,121,3/22/2024,10,Court Appearance for Bradshaw v. Paul,Yes,Yes
TK0614,Christopher Acosta,Associate,701,516,MT5180,Gutierrez v. White,M&A,CL4912,Smith-Mccoy,11/26/2023,153,78948,151,77916,589,133,98.69,42.74,170,87720,516,1/1/2025,6,Document Review for Gutierrez v. White,Yes,No
